"idBank";"Dernière mise à jour";"Correction";"Indicateur";"Sexe";"Âge";"Série arrêtée";"Unité";"Nature";"Périodicité";"Puissance";"Zone géographique"
"001688527";"16/05/2025 07:30";"Corrigé des variations saisonnières";"Taux de chômage";"Ensemble";"Ensemble";"non";"%";"Taux";"Trimestrielle";"0";"France hors Mayotte"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
